Output file: output/wt_090508.root input file:/disk03/lowe10/sk7/sle/lomugd.090508.root
 Id of this manager : 10
InitReadRoot: total = 76463
RUNINFO found in the rare list
SK geometry setting: 6
***** Dummy rgetvalue was called. (Remote File Access is not supported) *****
==========WT:========== 0 0 12344.1
0/76463
Sec_Event 282674 N50: 27
T: 0.107458 Q: inf
T: -0.00456335 Q: -0.0253069
T: -0.111453 Q: -0.0275919
T: -0.209963 Q: -0.0450728
T: -0.2971 Q: -0.0318686
T: -0.370217 Q: -0.0317583
T: -0.427092 Q: inf
T: -0.465997 Q: -0.0310986
T: -0.485749 Q: -0.0288861
T: -0.485749 Q: inf
T: -0.465997 Q: inf
T: -0.427092 Q: -0.0197437
T: -0.370217 Q: -0.0209566
T: -0.2971 Q: -0.0142815
T: -0.209963 Q: inf
T: -0.111453 Q: -0.0137218
T: -0.00456335 Q: -0.011298
T: 0.107458 Q: inf
T: 0.221208 Q: -0.0171722
T: 0.333229 Q: -0.0163354
T: 0.440119 Q: -0.0190579
T: 0.538629 Q: -0.0231056
T: 0.625767 Q: -0.0296087
T: 0.698883 Q: -0.0332764
T: 0.755758 Q: -0.0306053
T: 0.794663 Q: -0.0375342
T: 0.814415 Q: -0.0373297
T: 0.814415 Q: -0.0304833
T: 0.794663 Q: -0.0452283
T: 0.755758 Q: -0.0366231
T: 0.698883 Q: -0.0847884
T: 0.625767 Q: -0.0521086
T: 0.538629 Q: -0.0412053
T: 0.440119 Q: inf
T: 0.333229 Q: -0.0348721
T: 0.221208 Q: -0.0280615
Sec_Event 377629 N50: 28
T: 0.492621 Q: -0.00444298
T: 0.412616 Q: -0.0059815
T: 0.336277 Q: -0.0059684
T: 0.265921 Q: -0.00959057
T: 0.203689 Q: -0.00637333
T: 0.151469 Q: -0.00459823
T: 0.11085 Q: inf
T: 0.0830643 Q: -0.00285473
T: 0.0689573 Q: -0.00318668
T: 0.0689573 Q: inf
T: 0.0830643 Q: inf
T: 0.11085 Q: -0.00255887
T: 0.151469 Q: -0.00314128
T: 0.203689 Q: -0.00175327
T: 0.265921 Q: -0.00227373
T: 0.336277 Q: -0.00207235
T: 0.412616 Q: -0.00291504
T: 0.492621 Q: -0.00319793
T: 0.57386 Q: -0.00204094
T: 0.653865 Q: -0.00191806
T: 0.730205 Q: -0.00254751
T: 0.80056 Q: -0.000614456
T: 0.862793 Q: -0.000893742
T: 0.915012 Q: -0.000362309
T: 0.955632 Q: -0.00135064
T: 0.983417 Q: inf
T: 0.997524 Q: inf
T: 0.997524 Q: -0.000434379
T: 0.983417 Q: inf
T: 0.955632 Q: -0.000809917
T: 0.915012 Q: -0.00188198
T: 0.862793 Q: -0.00127918
T: 0.80056 Q: inf
T: 0.730205 Q: inf
T: 0.653865 Q: inf
T: 0.57386 Q: -0.00238636
Sec_Event 888871 N50: 36
T: -0.534078 Q: -0.0506781
T: -0.620403 Q: -0.0617956
T: -0.702774 Q: inf
T: -0.778686 Q: -0.0664999
T: -0.845835 Q: -0.0628033
T: -0.90218 Q: -0.0551997
T: -0.946008 Q: inf
T: -0.975988 Q: -0.0441538
T: -0.99121 Q: -0.0414691
T: -0.99121 Q: -0.0385058
T: -0.975988 Q: -0.0442939
T: -0.946008 Q: inf
T: -0.90218 Q: -0.052767
T: -0.845835 Q: inf
T: -0.778686 Q: -0.0447455
T: -0.702774 Q: -0.0338207
T: -0.620403 Q: inf
T: -0.534078 Q: -0.0263579
T: -0.446422 Q: inf
T: -0.360097 Q: -0.0371381
T: -0.277727 Q: -0.0205076
T: -0.201814 Q: inf
T: -0.134665 Q: -0.0276255
T: -0.0783208 Q: -0.0251083
T: -0.0344925 Q: -0.0346522
T: -0.00451221 Q: -0.0243604
T: 0.0107092 Q: -0.0325131
T: 0.0107092 Q: -0.0253731
T: -0.00451221 Q: inf
T: -0.0344925 Q: -0.0320366
T: -0.0783208 Q: -0.034463
T: -0.134665 Q: inf
T: -0.201814 Q: -0.0349347
T: -0.277727 Q: -0.0415057
T: -0.360097 Q: -0.041496
T: -0.446422 Q: -0.0378448
Sec_Event 922758 N50: 29
T: -0.0366272 Q: inf
T: -0.151444 Q: -0.00826963
T: -0.261 Q: -0.0134758
T: -0.361968 Q: -0.0153584
T: -0.451279 Q: inf
T: -0.52622 Q: inf
